姓名,生日,aka,性別,職業,婚姻狀態
陳雷,1963-02-10,陳武雄,M,男歌手,0
陳乃榮,1981-05-20,小乃、會長、副總,M,男歌手,1
陈伟联,1981-10-05,阿联,M,男歌手,1
陳芳語,1994-05-23,陳芳語,F,女歌手,0
施文彬,1964-12-10,彬哥、阿彬,M,男歌手,3
施孝榮,1959-07-06,None,M,男歌手,1
施易男,1974-05-13,海豚王子,M,男演员,0
沈懿,1983-09-25,快嘴懿哥,M,男歌手,0
沈文程,1955-06-06,沈文程,M,男歌手,0
任洁玲,1969-04-17,赖美玲,F,女歌手,0
任龍欣,1993-10-30,龍欣、星光帥哥,M,男歌手,0
任賢齊,1966-06-23,小齊,M,男艺人,1
瑞恩,1981-01-29,卢瑞恩,F,女演员,0
曾治豪,1986-02-08,小賀、豪仔、,M,男艺人,0
曾詠熙,1990-10-19,None,F,女歌手,0
曾寶儀,1973-02-21,阿寶、寶儀,F,女艺人,0
曾慶瑜,1956-10-12,None,F,女艺人,0
曾心梅,1970-08-06,曾小萍,F,女歌手,1
曾雅君,1986-02-12,None,None,歌手,0
左安安,1971-08-29,None,F,女歌手,0
蔡琴,1957-12-22,絲絨歌后,F,女歌手,2
蔡依林,1980-09-15,蔡依翎,F,女艺人,0
蔡振南,1954-07-26,南哥,M,男艺人,0
蔡旻佑,1986-11-12,None,M,男歌手,0
蔡幸娟,1966-03-18,小鄧麗君、中國娃娃、東方女孩、東方雲雀,F,女歌手,2
蔡秋鳳,1967-04-21,苦情歌后癡情歌后阿鳳阿憨獄中情人,F,女歌手,0
蔡健雅,1975-01-28,蔡健雅,F,女歌手,0
蔡淳佳,1978-08-03,None,F,女歌手,0
蔡詩芸,1986-04-06,囡囡,F,女歌手,1
蔡小虎,1962-10-25,蔡金虎,M,男歌手,0
蔡以真,1974-06-30,蔡以真,F,女歌手,0
蔡家蓁,1991-11-09,蔡幸芳,F,女歌手,0
曹蘭,1968-05-19,None,None,节目主持,1
曹格,1979-07-09,曹佰豪,M,男歌手,1
曹雅雯,1986-11-30,小白、尖叫女王、百萬寶貝、妹子、雯雯、小可愛,F,女歌手,0
崔苔菁,1951-11-08,崔苔菁,F,女艺人,1
孫燕姿,1978-07-23,None,F,女歌手,1
孫自佑,1987-05-14,老孫、佑佑、孫小毛,M,男歌手,0
孫盛希,1990-11-13,孫盛希,F,女歌手,0
孫碧娜,1987-02-24,孫志旿（손지오）Son Ji O,F,女歌手,0
孫淑媚,1981-01-09,阿媚、桑竹迷,F,女歌手,0
蘇芮,1952-06-13,蘇瑞芬,F,女歌手,2
蘇慧倫,1970-10-27,"塔西蘇、玉女掌門人、老大, 涷齡女神",F,女艺人,1
阿弟仔,1976-12-12,張健偉,M,男歌手,0
黃麗玲A,1983-09-20,Lisang Pacidal 黃麗玲,F,女歌手,1
阿吉仔,1957-04-15,林清吉（原名林清傑）,M,男歌手,1
阿杜,1973-03-11,杜成义,M,男歌手,1
歐陽菲菲,1949-09-10,菲菲、菲菲桑、菲姐,F,女歌手,1
安伯政,1981-12-01,安伯,M,男艺人,0
安以軒,1980-09-29,吳玟靜,F,女艺人,1
安心亞,1985-09-18,廖婧伶[2][3][4][5],F,女艺人,0
楊宗緯,1978-04-04,楊宗緯,M,男歌手,0
楊駿文,1990-02-08,楊駿文,M,男艺人,0
楊永聰,1985-07-04,None,M,男歌手,1
楊烈,1952-10-13,楊松福,M,男艺人,1
楊培安,1971-06-05,高音之神、鐵肺王子、野獸派歌王、音樂界的101,M,男歌手,0
楊乃文,1974-03-02,搖滾女王、寶貝,F,女歌手,0
游鴻明,1968-10-30,None,M,男歌手,0
葉秉桓,1987-08-16,桓桓、轉音魔王、轉音小王子、小葉,M,男歌手,0
葉瑋庭,1987-08-30,小葉,F,女艺人,1
葉佳修,1955-02-18,小鳥,M,男歌手,0
葉啟田,1948-06-01,葉憲修,M,男歌手,2
葉璦菱,1959-02-06,葉美娟,F,女歌手,1
葉蒨文,1961-09-30,Sally、莎莉、莎麗、莎莎、Sally姐、林太、林師奶,F,女艺人,1
姚黛瑋,1966-02-17,黛比、Pub公主,F,女艺人,2
陽帆,1958-02-16,陳景諒,M,男艺人,1
尤雅,1953-12-18,林麗鴻,F,女艺人,0
銀霞,1959-05-21,章家興,F,女歌手,0
伊能靜,1968-03-04,吳靜怡（本姓吳，從生父姓）伊能靜江（從繼父姓）,F,女艺人,3
嚴爵,1988-04-23,圓爵、爵爵、大王子、大太陽、籃板球,M,男歌手,1
閻韋伶,1984-11-08,小喔,F,女歌手,0
閻奕格,1990-03-21,格格、閻羅王,F,女歌手,0
王詩安,1990-11-14,朱蘭亭 Diana Zhu,F,女艺人,0
王力宏,1976-05-17,None,M,男歌手,2
王中平,1967-06-30,韓志偉,M,男歌手,1
王夢麟,1954-04-15,王夢麟,M,男歌手,2
王柏森,1965-10-23,王宗正,M,男艺人,0
王馨平,1968-08-05,王傳音,F,女艺人,1
王儷婷,1985-10-02,美聲歌姬,F,女歌手,0
王海玲,1963-01-21,None,F,女歌手,0
比莉,1952-01-27,王雪娥,F,女歌手,2
王心凌,1982-09-05,王君如,F,女歌手,0
王菀之,1979-06-18,之之、二番娜、皇后,F,女艺人,1
吳倩蓮,1968-07-03,吳茜蓮,F,女艺人,1
王傑,1962-10-20,王傑,M,男歌手,2
王識賢,1968-02-11,王識賢,M,男艺人,1
王若琳,1988-08-01,大便貓poocat,F,女歌手,0
伍思凱,1966-07-23,小伍哥、Sky,M,男歌手,1
伍佰,1968-01-14,吳俊霖,M,男歌手,1
巫啟賢,1963-02-09,巫老師,M,男歌手,1
巫奇,1968-09-20,巫啟雄,M,男歌手,1
吳克群,1979-10-18,吳克羣,M,男艺人,0
吳佩慈,1978-10-04,None,F,女艺人,0
吳淑敏,1981-01-17,None,F,女歌手,1
吳辰君,1978-08-21,None,F,女演员,1
吳勇濱,1990-02-15,吳宥瑨,M,男歌手,0
翁倩玉,1950-01-24,翁玉惠,F,女歌手,2
翁立友,1975-05-09,翁攀斐,M,男歌手,0
温嵐,1979-07-16,曾温嵐,F,女歌手,0
韋禮安,1987-03-05,Weibird、韋鳥,M,男歌手,0
萬芳,1967-07-06,林萬芳,F,女歌手,0
魏如昀,1984-03-19,皇后、Q、如銀、下巴歌后,F,女歌手,0
余天,1947-02-18,余清源,M,男歌手,1
余皓然,1972-08-26,None,F,女艺人,1
庾澄慶,1961-07-28,哈林、哈林哥、音樂頑童、哈林老哥、哈林大哥,M,男艺人,3
袁泉,1978-10-16,小袁泉、芥末泉,F,女演员,1
袁詠琳,1986-11-14,吳欣雲,F,女歌手,0
永邦,1974-07-01,余永邦,M,男歌手,0
郁可唯,1983-10-23,郁英霞,F,女歌手,0
