姓名,生日,aka,性別,職業,婚姻狀態
林智賢,1969-03-08,None,M,男艺人,0
李伯恩,1981-06-15,None,M,男歌手,0
昌璟翔,1987-05-23,阿達,M,男艺人,0
Kangta,1979-10-10,安七炫,M,男歌手,0
小Call,1983-08-13,郭怡伶,F,女艺人,1
黃騰浩,1977-02-19,黃騰德,M,男演员,0
楊家濬,1984-08-24,楊大正、楊大、大正,M,男歌手,2
包偉銘,1964-07-03,包小銘,M,男艺人,3
包小松,1967-04-28,松董、松哥,M,男艺人,1
包小柏,1967-04-28,None,M,男艺人,1
白冰冰,1955-05-17,冰冰姐、蓋高尚,F,女艺人,2
白安,1991-09-27,白安嚴,F,女歌手,0
巴奈·庫穗,1969-07-23,Panai Kusui,F,女歌手,1
卜學亮,1965-09-11,阿亮、吹牛王、臭屁蛋、平舌男,None,节目主持,1
白嘉莉,1949-03-01,白沙,F,女艺人,1
畢書盡,1989-07-07,None,M,男歌手,1
邊權,1986-07-08,邊品憲,M,男艺人,0
潘裕文,1984-06-20,潘王子、小飛俠彼得潘、種菜王子、惡魔潘、潘老闆,M,男歌手,0
潘越雲,1957-11-19,潘月雲,F,女歌手,0
潘麗麗,1962-07-29,潘譓溱,F,女艺人,2
彭佳慧,1972-04-20,鐵肺歌后,F,女歌手,2
彭高尚,1956-04-15,彭樟燦（1956年－2014年）彭高尚（2014年－）,None,节目主持,2
孟庭葦,1969-12-22,陳秀玫,F,女歌手,2
熱狗MC,1978-04-10,姚中仁,M,男歌手,0
方宥心,1984-12-07,方婉真,F,女艺人,0
方文琳,1965-06-13,陳美玲,F,女艺人,2
方瑞娥,1953-12-09,火車母水車姑娘黑玫瑰小甜甜布蘭娥艾薇娥國寶歌手,F,女歌手,0
方泂鑌,1977-07-17,阿鑌,M,男歌手,0
傅振輝,1961-11-10,傅畯宏,M,男歌手,0
費玉清,1955-07-17,張彥亭,M,男歌手,0
費翔,1960-12-24,None,M,男歌手,0
傅薇,1970-10-12,李佳蓉,F,女艺人,0
范瑋琪,1976-03-18,范范,F,女艺人,1
丁噹,1982-04-17,吳嫻,F,女歌手,0
杜德偉,1962-02-10,Alejandro Delfino,M,男歌手,1
丁衣凡,1982-09-24,丁丁 、小丁,M,男歌手,0
丁小芹,1979-10-17,丁小芹,F,女艺人,0
丁文琪,1984-12-27,江文琪,F,女歌手,1
丁曉雯,1963-10-02,None,F,女歌手,0
戴佩妮,1978-04-22,戴佩妮,F,女歌手,1
戴愛玲,1978-06-22,Juiguu Lebagenmuz,F,女歌手,0
迪克牛仔,1959-11-27,林進璋,M,男歌手,0
蔡黃汝,1987-11-15,蔡黃汝,F,女艺人,0
鄧福如,1987-06-20,鄧嵐心[2],F,女歌手,1
童安格,1959-07-26,None,M,男歌手,3
陶喆,1969-07-11,陶緒忠,M,男歌手,3
陶晶瑩,1969-10-29,陶子、星光教母,None,节目主持,1
同恩,1984-09-10,許同恩,F,女歌手,0
庹宗華,1962-10-10,庹Sir、天下第一班長,M,男演员,2
庹宗康,1968-07-30,小康、小康哥、夜店王子、女性夜生活觀察家、Shotgun,M,男艺人,1
天心,1975-11-11,吳天心,F,女艺人,1
唐文龍,1969-11-17,None,M,男艺人,0
湯蘭花,1951-10-01,Yurunana Danivu（優路拿納·丹妮芙）,F,女演员,2
坣娜,1966-01-12,坣娜,F,女艺人,1
庭竹,1981-01-05,林庭竹,F,女歌手,2
呂建中Tank,1982-02-06,呂建忠,M,男歌手,2
涂晨洋,1971-11-29,None,M,男艺人,0
倪安東,1986-05-20,Anthony Neely,M,男歌手,3
鈕大可,1948-03-03,None,M,男歌手,0
李宗盛,1958-07-19,大哥、小李,M,男歌手,3
李佳薇,1988-06-01,鐵肺女王、高亢歌姬、風暴歌后、能量歌姬,F,女歌手,0
李玟,1975-01-17,李美林（Ferren Lee）,F,女歌手,1
李聖傑,1973-02-21,李聖傑,M,男歌手,0
李宣榕,1986-12-10,李宣榕,F,女艺人,0
李友廷,1989-09-02,"阿左, OH YO DJ, 友廷老師",M,男歌手,0
李茂山,1960-04-11,情歌王子星馬王子[2][3]禮貌先生[4]阿山哥[4][5],M,男歌手,0
李壽全,1955-04-29,None,None,制作人,3
李亞明,1956-10-09,新人教父,None,制作人,0
李心潔,1976-01-23,小潔、靚妹、鬼后,None,演员,1
李千娜,1984-11-22,李千娜,F,女艺人,0
李建復,1959-10-24,None,M,男歌手,1
李恕權,1957-09-04,蚱蜢王子,M,男歌手,0
李愛綺,1976-08-04,李愛綺,F,女歌手,1
李碧華,1961-12-12,None,F,女歌手,1
李翊君,1969-04-27,李華苓,F,女歌手,1
李明依,1966-05-28,None,F,女艺人,2
李麗芬,1960-07-11,李麗芬,F,女歌手,2
李之勤,1968-02-05,None,F,女演员,0
李芷婷,2000-10-05,李芷婷,F,女歌手,0
艾薇,1997-12-19,Lee Ivy,F,女歌手,0
林宥嘉,1987-07-01,迷幻王子、樹老師、肌肉叔叔、宥嘉爸爸、yoga,M,男歌手,1
林隆璇,1964-07-09,情歌王子,M,男歌手,1
林國榮,1962-10-10,None,None,制作人,0
林欣甫,1987-04-16,林幸福,M,男歌手,0
林俊杰,1981-03-27,林接接、老林、林JJ、林姐姐、J兄,M,男歌手,0
林志穎,1974-10-15,小旋風、小志、小林、穎神、kimi 爸比,M,男艺人,1
林育羣,1986-03-09,小胖、星光美聲、台版蘇珊、奇蹟的歌聲、林君,M,男歌手,0
林健輝,1982-08-11,大大、馬來魔、草食男、好流氓,M,男歌手,0
林宇中,1978-12-29,None,M,男歌手,0
林強,1964-06-07,林志峰,None,幕后,0
林生祥,1971-11-25,None,M,男歌手,0
林東松,1964-03-14,None,None,制作人,0
林佳儀,1975-07-06,None,F,女歌手,2
林凡,1979-11-20,療愛歌姬、犀利女聲、龍門小天后[2]、璞玉姐,F,女歌手,0
林曉培,1973-12-09,希諾,F,女歌手,0
林慧萍,1963-08-20,None,F,女歌手,2
林芯儀,1986-08-13,林珀如,F,女歌手,0
林心如,1976-01-27,None,None,艺人,1
林嘉欣,1978-08-17,None,F,女演员,1
林立傑,1991-10-15,林立傑,M,男歌手,0
林淑容,1960-08-09,林淑容,F,女歌手,0
林冠吟,1984-12-20,火星人,F,女歌手,0
林依晨,1982-10-29,晨小妞、晨神、零負評女神,F,女演员,1
林雨宣,1988-11-01,None,F,女演员,0
林宜融,1985-08-31,None,None,None,0
林柏宏,1988-01-27,None,M,男演员,0
林金毛,1981-01-26,林毅安,M,男歌手,0
梁靜茹,1978-06-16,梁翠萍,F,女歌手,2
梁文音,1987-04-08,Leheane Palray,F,女歌手,2
梁一貞,1981-03-18,靈魂歌姬,F,女歌手,1
梁曉珺,1986-01-10,珺珺,F,女艺人,0
劉文正,1952-11-12,老劉、小豬、大頭,M,男歌手,0
劉明峰,1987-05-05,劉明峰,M,男歌手,0
劉明湘,1986-09-14,優雅公主,F,女艺人,1
Erika,1992-03-14,劉婉婷,F,女歌手,0
劉若英,1970-06-01,劉若英,F,女艺人,1
劉虹翎,1981-10-07,劉虹琳,F,女歌手,0
劉依純,1963-01-20,劉惠玉,F,女歌手,1
柳翰雅,1978-09-14,阿雅,None,节目主持,1
雷光夏,1968-08-15,None,None,歌手,0
羅百吉,1972-11-19,DJ Jerry  Asia #1 Dj電音界 LBJ,M,男歌手,1
羅大佑,1954-07-20,None,M,男歌手,3
羅時豐,1968-07-22,羅時豐,M,男艺人,1
路嘉欣,1979-04-22,路嘉唯,F,女艺人,0
盧廣仲,1985-07-15,盧廣仲,None,歌手,0
盧學叡,1988-02-15,盧學叡（Afalian Lufic）,M,男歌手,0
藍心湄,1965-11-16,藍心湄,F,女艺人,0
藍又時,1985-01-31,王夏弄,F,女歌手,2
龍千玉,1961-07-30,江玉滿,F,女歌手,2
賴雅妍,1979-12-05,賴雅妍,F,女艺人,0
高以愛,1988-03-11,高昱寰,F,女歌手,0
高慧君,1972-08-24,Paicx Yatauyungana,F,女艺人,0
高山峰,1975-10-19,高山峰、山峰哥、Mountain、浪子,M,男艺人,1
高勝美,1969-01-27,計程車天后、高八點,F,女歌手,0
葛仲珊,1985-09-05,None,F,女歌手,0
龔詩嘉,1981-07-25,龔詩嘉,F,女歌手,0
郭品超,1977-06-08,None,M,男艺人,0
郭采潔,1986-02-19,郭采潔,F,女艺人,0
關詩敏,1995-10-12,小關、關關,F,女歌手,0
柯有倫,1981-01-22,柯有倫,M,男歌手,1
柯以敏,1972-03-30,None,F,女歌手,1
柯以柔,1979-10-03,柯育婷,F,女艺人,2
康康,1967-05-28,康晋榮,M,男艺人,1
康禎庭,1987-04-17,康康、康妮,F,女歌手,0
黃舒駿,1966-01-11,None,M,男歌手,1
黃大煒,1964-09-17,None,M,男歌手,0
黃品源,1968-03-17,None,M,男歌手,2
黃義達,1979-08-11,黃易達,M,男歌手,0
黃國倫,1962-11-08,大師國倫老師破梗皇冷皇機關槍男孩金牌製作人,M,男艺人,3
黄维德,1971-10-21,阿德,M,男演员,1
黃小琥,1963-06-21,黃春鳳,F,女歌手,0
黃嘉千,1973-06-13,None,F,女艺人,1
黃韻玲,1964-10-01,音樂精靈、小玲老師,F,女艺人,2
黃思婷,1975-12-11,黃家紜,F,女歌手,0
黃妃,1974-07-13,黃子倩（改名前為黃麗華）,F,女歌手,1
黃乙玲,1969-09-20,黃明珠,F,女歌手,1
黃仲崑,1958-11-28,鋼鐵大叔、泰山,M,男艺人,1
黃文星,1979-06-02,Sing、A-Sing,M,男艺人,1
黃靖倫,1983-07-23,黃靖倫,M,男歌手,1
黄明志,1983-05-06,None,M,男歌手,0
何篤霖,1965-10-18,None,M,男艺人,0
何嘉文,1979-03-30,何家汶,F,女艺人,1
何耀珊,1972-06-02,None,F,女歌手,1
何以奇,1987-10-20,喵喵,F,女歌手,0
何欣穗,1968-12-17,ciacia、何小蝦、蝦老師,F,女歌手,2
胡瓜,1959-06-04,胡自雄,M,男艺人,3
胡德夫,1950-11-10,Parangalan,M,男歌手,0
胡利基,1988-02-01,None,M,男歌手,0
洪榮宏,1963-03-19,臺語歌王,M,男歌手,3
安唯綾,1985-03-05,洪子涵,F,女艺人,1
侯德健,1956-10-01,小侯,M,男歌手,0
侯湘婷,1982-08-27,None,F,女歌手,1
霍正奇,1966-09-28,丁舒恩,M,男艺人,0
霍建華,1979-12-26,华哥、老干部,M,男艺人,1
荒山亮,1968-09-06,None,M,男歌手,0
江岳霖,1965-06-01,江瓊娟,F,女歌手,0
