,姓名,生日,aka,性別,職業,婚姻狀態
121,葉金川,1950-06-29,None,男,政治人物,0
122,尹啟銘,1952-06-02,None,男,政治人物,0
123,游婷雅,1960-02-06,None,女,政治人物,0
124,游淑慧,1976-07-28,None,女,政治人物,0
125,詹滿容,1956-06-09,None,女,政治人物,0
126,張雅屏,1972-07-21,None,男,政治人物,0
127,張宏年,1952-02-10,None,男,政治人物,0
128,張家祝,1950-06-25,None,男性,政治人物,0
129,張昌財,1952-04-15,None,男,政治人物,0
130,張錦昆,1965-03-02,None,男,政治人物,0
131,張榮味,1957-07-10,None,男,政治人物,2
132,趙豐邦,1967-09-15,None,None,政治人物,0
133,鄭世維,1966-05-05,None,男,政治人物,0
134,鄭聚然,1960-08-03,None,男,政治人物,0
135,卓伯源,1965-03-27,None,男,政治人物,0
136,朱俊曉,1963-03-20,None,男,政治人物,0
137,張志明,1964-02-27,None,男,政治人物,0
138,張瀚天,1968-09-05,None,男,政治人物,0
139,張文儀,1948-11-15,None,男,政治人物,0
140,朱珍瑤,1983-07-15,None,女,政治人物,0
141,丁守中,1954-09-01,None,男,政治人物,1
142,史雪燕,1976-07-17,None,女,政治人物,0
143,吳斯懷,1952-12-15,None,男,政治人物,1
144,吳碧珠,1949-12-22,None,女,政治人物,0
145,吳秋齡,1957-09-09,None,女,政治人物,0
146,廖先翔,1988-06-12,None,男,政治人物,0
147,張彥彤,1986-08-22,None,男,政治人物,0
148,張智倫,1983-11-24,None,男,政治人物,0
149,張錦華,1955-03-26,None,女,政治人物,1
150,張鎔麒,1987-08-07,None,男,政治人物,1
151,徐弘庭,1982-06-21,None,男,政治人物,0
152,方華雄,1978-04-26,None,男,政治人物,0
153,朱雲鵬,1953-08-17,None,None,政治人物,0
154,李中 (議員),1959-07-20,None,男,政治人物,0
155,李天鐸,1948-06-17,None,男,政治人物,0
156,李明璇,1993-03-30,None,女,政治人物,1
157,李武龍,1976-04-16,None,男,政治人物,0
158,李玉嬋,1965-02-26,None,女,政治人物,0
159,李雅芬,1970-06-25,None,女,政治人物,1
160,林九炲,1948-08-17,None,男,政治人物,0
161,林亭君,1984-11-17,None,女,政治人物,0
162,林易煌,1964-02-04,None,男,政治人物,0
163,林沛祥,1977-05-14,None,男,政治人物,1
164,林琮翰,1969-07-19,None,男,政治人物,0
165,林錫山,1962-03-17,None,男,政治人物,0
166,楊春妹,1961-02-19,None,女,政治人物,0
167,楊綏生,1954-11-10,None,男,政治人物,1
168,歐陽龍,1960-11-12,None,男,政治人物,1
169,王建章,1958-03-28,None,男,政治人物,0
170,王文隆,1976-11-25,None,男,政治人物,0
171,王齡嬌,1966-02-20,None,女,政治人物,0
172,田方倫,1992-01-24,None,男,政治人物,0
173,秦儷舫,1958-11-10,None,女,政治人物,0
174,章正輝,1963-09-04,None,男,政治人物,0
175,童小芸,1971-07-21,None,女,政治人物,0
176,耿繼文,1951-04-14,None,男,政治人物,0
177,胡幼偉,1961-04-01,None,男,政治人物,0
178,舒翠玲,1964-09-13,None,None,政治人物,0
179,蔡淑惠,1967-01-22,None,女,政治人物,0
180,蔡金晏,1978-03-25,None,男性,政治人物,0
181,蕭敬嚴,1992-12-15,None,男,政治人物,0
182,許志宏,1973-01-18,None,None,政治人物,0
183,許能通,1953-03-20,None,男,政治人物,0
