name,href
賴美惠,https://zh.wikipedia.org/wiki/%E8%B3%B4%E7%BE%8E%E6%83%A0
李喬如,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%96%AC%E5%A6%82
李逸洋,https://zh.wikipedia.org/wiki/%E6%9D%8E%E9%80%B8%E6%B4%8B
廖述鎮,https://zh.wikipedia.org/wiki/%E5%BB%96%E8%BF%B0%E9%8E%AE
林德福 (民主進步黨),https://zh.wikipedia.org/wiki/%E6%9E%97%E5%BE%B7%E7%A6%8F_(%E6%B0%91%E4%B8%BB%E9%80%B2%E6%AD%A5%E9%BB%A8)
林文淵,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%96%87%E6%B7%B5
林智堅,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%99%BA%E5%A0%85
林朝寶,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%9C%9D%E5%AF%B6
林水山,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%B0%B4%E5%B1%B1
林水泉,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%B0%B4%E6%B3%89
林滴娟,https://zh.wikipedia.org/wiki/%E6%9E%97%E6%BB%B4%E5%A8%9F
林玉体,https://zh.wikipedia.org/wiki/%E6%9E%97%E7%8E%89%E4%BD%93
林錫耀,https://zh.wikipedia.org/wiki/%E6%9E%97%E9%8C%AB%E8%80%80
林俊義,https://zh.wikipedia.org/wiki/%E6%9E%97%E4%BF%8A%E7%BE%A9
劉國隆,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%9C%8B%E9%9A%86
劉峰松,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%B3%B0%E6%9D%BE
劉俊秀 (1952年),https://zh.wikipedia.org/wiki/%E5%8A%89%E4%BF%8A%E7%A7%80_(1952%E5%B9%B4)
劉守成 (臺灣),https://zh.wikipedia.org/wiki/%E5%8A%89%E5%AE%88%E6%88%90_(%E8%87%BA%E7%81%A3)
劉純婷,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%B4%94%E5%A9%B7
劉錦昌,https://zh.wikipedia.org/wiki/%E5%8A%89%E9%8C%A6%E6%98%8C
李世斌,https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%B8%96%E6%96%8C
李顯榮,https://zh.wikipedia.org/wiki/%E6%9D%8E%E9%A1%AF%E6%A6%AE
黃李月琴,https://zh.wikipedia.org/wiki/%E9%BB%83%E6%9D%8E%E6%9C%88%E7%90%B4
呂子昌,https://zh.wikipedia.org/wiki/%E5%91%82%E5%AD%90%E6%98%8C
User:Hoyalang/Sandbox/呂維胤,https://zh.wikipedia.org/wiki/User:Hoyalang/Sandbox/%E5%91%82%E7%B6%AD%E8%83%A4
呂維胤,https://zh.wikipedia.org/wiki/%E5%91%82%E7%B6%AD%E8%83%A4
李建昌 (台灣),https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%BB%BA%E6%98%8C_(%E5%8F%B0%E7%81%A3)
李清聖,https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%B8%85%E8%81%96
林世賢 (政治人物),https://zh.wikipedia.org/wiki/%E6%9E%97%E4%B8%96%E8%B3%A2_(%E6%94%BF%E6%B2%BB%E4%BA%BA%E7%89%A9)
林聰賢,https://zh.wikipedia.org/wiki/%E6%9E%97%E8%81%B0%E8%B3%A2
黃健忠,https://zh.wikipedia.org/wiki/%E9%BB%83%E5%81%A5%E5%BF%A0
歐陽敏盛,https://zh.wikipedia.org/wiki/%E6%AD%90%E9%99%BD%E6%95%8F%E7%9B%9B
彭明聰,https://zh.wikipedia.org/wiki/%E5%BD%AD%E6%98%8E%E8%81%B0
彭俊豪,https://zh.wikipedia.org/wiki/%E5%BD%AD%E4%BF%8A%E8%B1%AA
邱建富,https://zh.wikipedia.org/wiki/%E9%82%B1%E5%BB%BA%E5%AF%8C
邱茂男,https://zh.wikipedia.org/wiki/%E9%82%B1%E8%8C%82%E7%94%B7
施明雄,https://zh.wikipedia.org/wiki/%E6%96%BD%E6%98%8E%E9%9B%84
蘇東啟,https://zh.wikipedia.org/wiki/%E8%98%87%E6%9D%B1%E5%95%9F
史哲,https://zh.wikipedia.org/wiki/%E5%8F%B2%E5%93%B2
沈震東,https://zh.wikipedia.org/wiki/%E6%B2%88%E9%9C%87%E6%9D%B1
童瑞陽,https://zh.wikipedia.org/wiki/%E7%AB%A5%E7%91%9E%E9%99%BD
曾智勇,https://zh.wikipedia.org/wiki/%E6%9B%BE%E6%99%BA%E5%8B%87
田智宣,https://zh.wikipedia.org/wiki/%E7%94%B0%E6%99%BA%E5%AE%A3
王世堅,https://zh.wikipedia.org/wiki/%E7%8E%8B%E4%B8%96%E5%A0%85
王燕軍,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%87%95%E8%BB%8D
王浩宇,https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%B5%A9%E5%AE%87
王立任,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%AB%8B%E4%BB%BB
吳密察,https://zh.wikipedia.org/wiki/%E5%90%B3%E5%AF%86%E5%AF%9F
吳敏濟,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%95%8F%E6%BF%9F
吳濬彥,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%BF%AC%E5%BD%A5
王安邦 (台灣官員),https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%AE%89%E9%82%A6_(%E5%8F%B0%E7%81%A3%E5%AE%98%E5%93%A1)
王閔生,https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%96%94%E7%94%9F
魏廷朝,https://zh.wikipedia.org/wiki/%E9%AD%8F%E5%BB%B7%E6%9C%9D
魏筠,https://zh.wikipedia.org/wiki/%E9%AD%8F%E7%AD%A0
謝燦輝,https://zh.wikipedia.org/wiki/%E8%AC%9D%E7%87%A6%E8%BC%9D
蕭隆澤,https://zh.wikipedia.org/wiki/%E8%95%AD%E9%9A%86%E6%BE%A4
謝三升,https://zh.wikipedia.org/wiki/%E8%AC%9D%E4%B8%89%E5%8D%87
謝志忠,https://zh.wikipedia.org/wiki/%E8%AC%9D%E5%BF%97%E5%BF%A0
徐景文 (台灣),https://zh.wikipedia.org/wiki/%E5%BE%90%E6%99%AF%E6%96%87_(%E5%8F%B0%E7%81%A3)
許水彬,https://zh.wikipedia.org/wiki/%E8%A8%B1%E6%B0%B4%E5%BD%AC
許信良,https://zh.wikipedia.org/wiki/%E8%A8%B1%E4%BF%A1%E8%89%AF
余天,https://zh.wikipedia.org/wiki/%E4%BD%99%E5%A4%A9
楊蕙如,https://zh.wikipedia.org/wiki/%E6%A5%8A%E8%95%99%E5%A6%82
楊傳廣,https://zh.wikipedia.org/wiki/%E6%A5%8A%E5%82%B3%E5%BB%A3
楊典忠,https://zh.wikipedia.org/wiki/%E6%A5%8A%E5%85%B8%E5%BF%A0
楊烈,https://zh.wikipedia.org/wiki/%E6%A5%8A%E7%83%88
游祥耀,https://zh.wikipedia.org/wiki/%E6%B8%B8%E7%A5%A5%E8%80%80
余陳月瑛,https://zh.wikipedia.org/wiki/%E4%BD%99%E9%99%B3%E6%9C%88%E7%91%9B
姚人多,https://zh.wikipedia.org/wiki/%E5%A7%9A%E4%BA%BA%E5%A4%9A
楊長鎮,https://zh.wikipedia.org/wiki/%E6%A5%8A%E9%95%B7%E9%8E%AE
顏蔚慈,https://zh.wikipedia.org/wiki/%E9%A1%8F%E8%94%9A%E6%85%88
張維洲,https://zh.wikipedia.org/wiki/%E5%BC%B5%E7%B6%AD%E6%B4%B2
朱政騏,https://zh.wikipedia.org/wiki/%E6%9C%B1%E6%94%BF%E9%A8%8F
卓春英,https://zh.wikipedia.org/wiki/%E5%8D%93%E6%98%A5%E8%8B%B1
張德銘,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%BE%B7%E9%8A%98
