,姓名,生日,aka,性別,職業,婚姻狀態
215,伍麗華,1969-08-12,None,女,政治人物,0
216,吳玉琴,1964-08-15,None,女,政治人物,0
217,吳宜臻,1970-04-23,None,女,政治人物,0
218,吳思瑤,1974-05-28,None,女,政治人物,0
219,吳沛憶,1987-01-20,None,None,政治人物,1
220,王美惠,1965-04-15,None,女性,政治人物,0
221,翁美春,1963-02-14,None,女,政治人物,0
222,謝欣霓,1971-09-10,None,女,政治人物,0
223,余宛如,1980-06-11,None,女,政治人物,1
224,余玲雅,1950-06-29,None,女,政治人物,0
225,余莓莓,1964-07-14,None,女,政治人物,1
226,葉菊蘭,1949-02-13,None,女,政治人物,1
227,顏聖冠,1968-06-20,None,女,政治人物,0
228,顏若芳,1985-10-27,None,女,政治人物,0
229,張溫鷹,1950-07-26,None,None,政治人物,1
230,張菊芳,1963-01-19,None,女,政治人物,0
231,鄭宇恩,1986-04-07,None,女,政治人物,0
232,周雅淑,1966-08-12,None,女,政治人物,1
233,周雅玲,1968-06-25,None,女,政治人物,0
234,鍾佩玲,1979-03-27,None,女,政治人物,1
235,張維倩,1985-01-14,None,女,政治人物,0
236,張雅旻,1977-04-25,None,女,政治人物,0
237,李晏榕,1980-03-23,None,女,政治人物,1
238,林愛龍,1981-07-13,None,女,政治人物,0
239,林芳玫,1961-12-01,None,女,政治人物,1
240,楊懿珊,1979-04-08,None,女,政治人物,0
241,蔣念祖,1968-10-04,None,女,政治人物,0
242,許嘉恬,1974-11-29,None,女,政治人物,0
243,許菡芸,1992-04-27,小綠,女,政治人物,0
244,許銘春,1965-09-21,None,女,政治人物,1
245,趙心瑜,1972-04-30,None,女,政治人物,0
246,陳培瑜,1977-08-09,None,女,政治人物,0
247,陳秀惠,1962-05-07,None,女,政治人物,1
248,張志豪,1981-08-24,None,男,政治人物,0
249,羅文崇,1964-07-08,None,男,政治人物,0
250,陳建仁,1951-06-06,None,男,政治人物,1
251,陳永福,1958-10-01,None,男,政治人物,0
252,張錦豪,1979-10-15,None,男,政治人物,0
253,陳又新,1982-05-24,None,男,政治人物,0
254,陳水扁,1950-10-12,None,男,政治人物,1
255,賴清德,1959-10-06,None,男,政治人物,1
256,高建智,1953-08-17,None,男,政治人物,1
257,黃國書,1964-01-03,None,男,政治人物,1
258,蘇震清,1965-02-02,None,男,政治人物,1
259,劉文慶,1954-01-22,None,男,政治人物,0
260,廖永來,1956-08-01,None,男,政治人物,0
261,張廖萬堅,1965-02-09,None,男,政治人物,0
262,李明憲,1950-10-26,None,男,政治人物,1
263,林佳龍,1964-02-13,None,男,政治人物,1
264,林豐喜,1950-12-12,None,男,政治人物,0
265,王世勛,1951-01-15,None,男,政治人物,0
266,簡肇棟,1955-08-18,None,男,政治人物,0
267,莊競程,1980-12-22,None,男,政治人物,0
268,蔡其昌,1969-04-16,None,男,政治人物,1
269,謝明源,1952-09-03,None,男,政治人物,0
270,邱太三,1956-08-30,None,男,政治人物,1
271,郭俊銘,1955-10-17,None,None,政治人物,0
272,吳焜裕,1959-02-20,None,男,政治人物,0
273,巴燕·達魯,1951-12-16,None,男,政治人物,0
274,施義芳,1962-02-10,None,男,政治人物,0
275,林忠正,1954-01-09,None,男,政治人物,0
276,沈發惠,1966-11-02,None,男,政治人物,0
277,洪申翰,1984-10-18,None,男,政治人物,0
278,涂醒哲,1951-06-17,None,None,政治人物,1
279,游錫堃,1948-04-25,None,男,政治人物,1
280,王塗發,1948-04-10,None,男,政治人物,0
281,王榮璋,1964-05-28,None,男,政治人物,1
282,盧天麟,1959-11-07,None,男,政治人物,0
283,簡錫堦,1947-03-15,None,男,政治人物,0
284,蔣絜安,1968-07-07,None,女,政治人物,0
285,邱泰源,1956-10-30,None,男,政治人物,0
286,鍾孔炤,1956-11-14,None,男,政治人物,1
287,陳宗仁,1959-10-02,None,男,政治人物,0
288,陳忠信,1949-04-15,None,男,政治人物,1
289,陳道明,1947-11-21,None,男,政治人物,0
290,顧立雄,1958-10-31,None,男,政治人物,1
291,何志偉,1982-05-14,None,男,政治人物,0
292,卓榮泰,1959-01-22,None,None,政治人物,1
293,吳淑珍,1952-07-11,None,女,政治人物,1
294,吳琪銘,1963-02-24,None,男,政治人物,0
295,吳秉叡,1966-10-07,None,男,政治人物,0
296,周伯倫,1954-11-13,None,男,政治人物,0
297,姚文智,1965-12-04,None,None,政治人物,1
298,廖本煙,1956-09-26,None,男,政治人物,1
299,張宏陸,1972-01-10,None,男,政治人物,0
300,張晉城,1949-03-05,None,男,政治人物,0
301,張清芳,1952-11-23,None,男,政治人物,0
302,李文忠,1958-06-20,None,男,政治人物,1
